Tijdstip,Timestamp,Timertijd,Totale tijd,VOD link,
18-4-2021 9:00,,,208:00:00,,
18-4-2021 10:00,,,209:00:00,,
18-4-2021 11:00,,,210:00:00,,
18-4-2021 12:00,,,211:00:00,,
18-4-2021 13:00,,,212:00:00,,
18-4-2021 14:00,,,213:00:00,,
18-4-2021 15:00,,,214:00:00,,
18-4-2021 16:00,,,215:00:00,,
18-4-2021 17:00,,,216:00:00,,
18-4-2021 18:00,,,217:00:00,,
18-4-2021 19:00,,,218:00:00,,
18-4-2021 20:00,,,219:00:00,,
18-4-2021 21:00,,,220:00:00,,
18-4-2021 22:00,,,221:00:00,,
18-4-2021 23:00,,,222:00:00,,
19-4-2021 0:00,,,223:00:00,,
19-4-2021 1:00,,,224:00:00,,
19-4-2021 2:00,,,225:00:00,,
19-4-2021 3:00,,,226:00:00,,
19-4-2021 4:00,,,227:00:00,,
19-4-2021 5:00,,,228:00:00,,
19-4-2021 6:00,,,229:00:00,,
19-4-2021 7:00,,,230:00:00,,
19-4-2021 8:00,,,231:00:00,,
19-4-2021 9:00,,,232:00:00,,
19-4-2021 10:00,,,233:00:00,,
19-4-2021 11:00,,,234:00:00,,
19-4-2021 12:00,,,235:00:00,,
19-4-2021 13:00,,,236:00:00,,
19-4-2021 14:00,,,237:00:00,,
19-4-2021 15:00,,,238:00:00,,
19-4-2021 16:00,,,239:00:00,,
19-4-2021 17:00,,,240:00:00,,
19-4-2021 18:00,,,241:00:00,,
19-4-2021 19:00,,,242:00:00,,
19-4-2021 20:00,,,243:00:00,,
19-4-2021 21:00,,,244:00:00,,
19-4-2021 22:00,,,245:00:00,,
19-4-2021 23:00,,,246:00:00,,
20-4-2021 0:00,,,247:00:00,,
20-4-2021 1:00,,,248:00:00,,
20-4-2021 2:00,,,249:00:00,,
20-4-2021 3:00,,,250:00:00,,
20-4-2021 4:00,,,251:00:00,,
20-4-2021 5:00,,,252:00:00,,
20-4-2021 6:00,,,253:00:00,,
20-4-2021 7:00,,,254:00:00,,
20-4-2021 8:00,,,255:00:00,,
20-4-2021 9:00,,,256:00:00,,
20-4-2021 10:00,,,257:00:00,,
20-4-2021 11:00,,,258:00:00,,
20-4-2021 12:00,,,259:00:00,,
20-4-2021 13:00,,,260:00:00,,
20-4-2021 14:00,,,261:00:00,,
20-4-2021 15:00,,,262:00:00,,
20-4-2021 16:00,,,263:00:00,,
20-4-2021 17:00,,,264:00:00,,
20-4-2021 18:00,,,265:00:00,,
20-4-2021 19:00,,,266:00:00,,
20-4-2021 20:00,,,267:00:00,,
20-4-2021 21:00,,,268:00:00,,
20-4-2021 22:00,,,269:00:00,,
20-4-2021 23:00,,,270:00:00,,
21-4-2021 0:00,,,271:00:00,,
21-4-2021 1:00,,,272:00:00,,
21-4-2021 2:00,,,273:00:00,,
